customer_id,number_of_visits,product_views,cart_additions,checkout_started,previous_purchases,average_order_value,days_since_last_activity,customer_value,discount_used,email_engagement,session_duration,potential_lost_sale,recovered,recovery_probability_true
CUST-1053,5,22,5,1,2,168.44,13,Medium,1,0.58,1170.5,1,1,0.802
CUST-1054,6,14,4,1,1,198.28,4,Medium,0,0.23,1131.5,1,1,0.765
CUST-1055,10,34,14,1,3,62.07,1,Medium,0,0.71,4127.7,1,1,0.924
CUST-1056,5,16,6,1,2,74.98,5,Low,0,0.6,1531.4,1,1,0.802
CUST-1057,5,20,9,1,3,190.07,7,High,0,0.35,2440.6,1,1,0.826
CUST-1058,8,19,7,0,6,73.48,2,Medium,0,0.62,1919.2,0,0,0.9
CUST-1059,3,11,3,0,0,128.2,10,Low,0,0.04,598.8,0,0,0.179
CUST-1060,8,29,14,1,3,147.63,7,Medium,0,0.72,1546.4,1,1,0.858
CUST-1061,7,10,1,1,1,86.27,7,Low,0,0.15,1123.5,1,0,0.565
CUST-1062,7,14,7,1,4,130.59,4,High,0,0.21,1386.2,1,1,0.838
CUST-1063,9,37,11,1,7,148.61,20,High,1,0.03,2135.0,1,0,0.49
CUST-1064,11,15,7,0,6,232.26,2,High,0,0.41,1532.7,0,0,0.907
CUST-1065,9,19,4,0,3,221.5,6,High,0,0.13,2041.8,0,0,0.776
CUST-1066,8,34,12,0,2,158.98,3,Medium,0,0.57,3599.3,1,1,0.879
CUST-1067,6,28,13,1,3,105.52,9,Medium,0,0.41,1935.0,1,1,0.719
CUST-1068,3,5,2,1,3,223.59,1,High,0,0.11,446.5,0,0,0.858
CUST-1069,12,36,14,0,1,227.0,1,Medium,0,0.43,4403.3,1,0,0.874
CUST-1070,14,30,13,1,3,98.53,10,Medium,1,0.27,3465.1,1,1,0.758
CUST-1071,3,8,4,0,3,152.77,4,Medium,0,0.64,617.1,1,1,0.881
CUST-1072,7,14,8,1,2,113.96,3,Medium,1,0.19,1557.6,1,1,0.861
CUST-1073,3,13,4,1,0,161.45,6,Low,0,0.34,856.1,1,1,0.392
CUST-1074,4,11,2,1,0,95.12,8,Low,0,0.34,823.4,1,0,0.336
CUST-1075,3,9,1,1,0,197.31,2,Low,0,0.45,568.2,1,0,0.565
CUST-1076,9,28,8,1,4,161.91,2,High,1,0.28,1564.9,0,0,0.932
CUST-1077,5,6,1,1,2,95.22,20,Medium,0,0.7,800.1,1,0,0.55
CUST-1078,10,22,8,1,0,189.75,6,Low,0,0.57,1992.3,1,0,0.505
CUST-1079,1,4,1,1,1,105.12,3,Low,0,0.53,305.2,1,1,0.818
CUST-1080,6,6,0,0,4,55.46,10,Medium,1,0.7,736.8,1,0,0.881
CUST-1081,4,12,1,1,2,85.5,5,Medium,1,0.07,1333.5,1,1,0.792
CUST-1082,5,13,6,0,4,206.9,2,High,1,0.54,743.2,0,0,0.959
CUST-1083,2,9,3,1,1,273.81,2,Medium,0,0.61,899.6,1,1,0.898
CUST-1084,4,4,1,1,0,276.84,4,Low,0,0.3,446.2,1,1,0.43
CUST-1085,7,23,11,0,2,108.13,12,Medium,1,0.48,2391.4,1,1,0.789
CUST-1086,9,21,4,0,0,128.14,1,Low,0,0.53,2217.2,1,0,0.632
CUST-1087,4,13,8,1,0,115.0,2,Low,0,0.18,885.7,1,0,0.43
CUST-1088,17,20,8,0,2,139.05,14,Medium,1,0.5,1482.5,1,1,0.754
CUST-1089,4,9,2,1,3,72.12,1,Medium,0,0.68,1147.8,1,1,0.92
CUST-1090,11,36,14,1,3,109.52,6,Medium,1,0.35,4207.7,1,1,0.856
CUST-1091,7,23,10,1,2,153.01,2,Medium,0,0.16,1690.2,0,0,0.782
CUST-1092,11,44,15,1,2,207.36,6,Medium,0,0.14,2144.3,1,0,0.681
CUST-1093,12,50,21,0,5,158.96,3,High,0,0.31,5635.8,1,1,0.877
CUST-1094,4,20,5,0,2,125.5,1,Medium,1,0.75,1610.1,0,0,0.96
CUST-1095,8,27,8,0,4,86.55,6,Medium,0,0.49,1963.2,1,1,0.812
CUST-1096,7,23,5,0,3,212.83,7,High,1,0.46,1679.6,1,1,0.915
CUST-1097,10,13,3,1,4,67.31,7,Medium,1,0.47,1122.7,1,1,0.87
CUST-1098,16,67,21,1,8,74.38,7,High,0,0.64,4966.3,0,0,0.895
CUST-1099,13,40,18,0,6,181.0,5,High,0,0.45,3573.4,1,1,0.881
CUST-1100,3,4,0,0,2,192.09,5,Medium,1,0.88,308.7,0,0,0.951
CUST-1101,11,38,13,0,0,37.99,7,Low,1,0.45,4610.9,1,0,0.565
CUST-1102,5,7,3,0,1,126.0,8,Low,0,0.71,975.6,1,1,0.779
CUST-1103,7,32,15,1,2,50.67,7,Low,0,0.76,3801.6,1,1,0.815
CUST-1104,3,16,11,0,4,129.52,6,High,1,0.51,1905.8,1,1,0.931
CUST-1105,7,30,12,0,4,117.32,2,Medium,0,0.39,2912.2,0,0,0.851
CUST-1106,21,65,30,0,2,247.9,2,Medium,1,0.3,4136.0,1,1,0.897
CUST-1107,4,15,7,1,2,169.36,2,Medium,0,0.36,826.3,1,1,0.843
CUST-1108,5,9,6,1,0,171.8,16,Low,1,0.4,630.6,1,0,0.285
CUST-1109,4,9,4,1,0,229.9,9,Low,0,0.55,712.6,1,0,0.406
CUST-1110,6,14,2,1,2,233.69,5,Medium,0,0.29,1259.3,1,1,0.765
CUST-1111,6,25,8,1,2,148.99,2,Medium,0,0.27,3082.2,0,0,0.818
CUST-1112,3,12,5,1,12,103.71,1,High,0,0.14,1083.6,1,1,0.865
CUST-1113,7,30,9,1,4,202.36,14,High,0,0.67,2703.5,1,1,0.796
CUST-1114,3,5,1,1,0,197.93,14,Low,0,0.44,564.8,1,1,0.231
CUST-1115,9,19,7,1,4,180.21,1,High,1,0.08,1213.8,1,1,0.912
CUST-1116,7,18,9,1,1,148.7,10,Low,0,0.35,2205.2,1,1,0.574
CUST-1117,2,10,1,1,0,128.94,4,Low,1,0.24,1011.1,1,0,0.55
CUST-1118,3,6,3,1,0,234.0,3,Low,1,0.48,498.4,1,0,0.69
CUST-1119,10,21,9,1,4,117.15,9,Medium,1,0.0,2464.1,0,0,0.673
CUST-1120,4,12,7,1,1,101.47,6,Low,0,0.33,1188.2,1,1,0.677
CUST-1121,8,20,10,1,1,125.25,10,Low,0,0.17,1738.1,1,0,0.485
CUST-1122,3,3,2,1,0,94.09,1,Low,0,0.32,358.2,1,0,0.53
CUST-1123,8,16,6,0,3,198.33,3,High,1,0.54,1675.9,1,1,0.953
CUST-1124,4,11,3,1,1,148.76,3,Low,1,0.56,658.0,1,1,0.897
CUST-1125,3,14,5,1,1,52.38,3,Low,0,0.48,1671.2,1,1,0.802
CUST-1126,10,43,17,0,1,169.66,5,Medium,0,0.19,5208.3,0,0,0.727
CUST-1127,8,16,8,1,4,127.17,2,High,0,0.26,1568.3,1,1,0.879
CUST-1128,8,10,5,0,2,140.89,4,Medium,0,0.19,1094.2,0,0,0.75
CUST-1129,7,16,4,0,0,156.95,3,Low,0,0.32,1908.0,1,1,0.47
CUST-1130,6,7,3,1,1,110.76,8,Low,1,0.07,580.1,0,0,0.641
CUST-1131,1,5,1,1,4,100.97,6,Medium,0,0.13,720.7,1,0,0.677
CUST-1132,12,14,1,1,0,180.49,7,Low,1,0.03,1383.6,1,0,0.359
CUST-1133,7,23,6,1,4,78.75,2,Medium,1,0.13,1902.5,1,0,0.861
CUST-1134,3,14,3,1,5,89.09,3,Medium,1,0.21,1516.7,1,1,0.865
CUST-1135,6,21,10,1,2,98.06,1,Medium,0,0.2,1925.8,1,0,0.815
CUST-1136,5,23,7,0,5,211.43,1,High,0,0.07,1337.7,0,0,0.848
CUST-1137,9,12,3,1,3,238.13,2,High,0,0.38,1404.6,1,1,0.902
CUST-1138,3,10,6,1,3,97.64,1,Medium,1,0.6,1044.9,1,1,0.947
CUST-1139,10,42,14,1,12,89.88,6,High,0,0.73,4459.3,1,1,0.92
CUST-1140,5,13,1,1,1,147.99,38,Low,0,0.59,885.0,1,0,0.07
CUST-1141,8,8,2,1,1,127.09,1,Low,0,0.23,753.5,0,0,0.758
CUST-1142,15,18,4,1,3,199.94,11,High,0,0.62,2006.5,1,1,0.835
CUST-1143,9,19,4,1,1,174.16,1,Medium,1,0.46,2308.1,1,1,0.931
CUST-1144,3,7,1,0,2,283.94,7,High,0,0.49,836.0,1,1,0.863
CUST-1145,12,48,18,1,0,91.83,7,Low,0,0.25,5409.8,1,1,0.323
CUST-1146,7,9,2,1,0,198.6,14,Low,0,0.17,628.3,0,0,0.149
CUST-1147,7,31,10,1,2,117.3,1,Medium,0,0.28,3397.0,0,0,0.838
CUST-1148,12,26,12,1,7,87.33,3,High,1,0.11,1613.4,0,0,0.897
CUST-1149,6,10,3,1,2,116.38,1,Medium,0,0.5,753.8,0,0,0.889
CUST-1150,8,17,9,0,2,122.01,4,Medium,0,0.34,975.7,0,0,0.802
CUST-1151,5,22,8,0,4,228.55,15,High,1,0.4,2561.2,1,1,0.786
CUST-1152,11,45,15,1,3,65.09,10,Medium,1,0.75,2541.6,0,0,0.891
CUST-1153,6,26,11,1,5,98.99,8,Medium,0,0.16,1556.2,1,1,0.636
CUST-1154,3,7,1,1,0,144.9,5,Low,0,0.05,571.1,1,1,0.289
CUST-1155,17,34,8,1,6,84.63,13,High,0,0.5,3026.4,1,1,0.758
CUST-1156,8,19,7,1,0,271.44,4,Low,0,0.31,2194.3,1,1,0.435
CUST-1157,4,17,6,1,1,290.35,1,Medium,0,0.41,1367.8,1,1,0.87
CUST-1158,17,70,28,1,6,139.72,11,High,0,0.54,6070.5,1,0,0.812
CUST-1159,4,17,9,1,0,180.76,2,Low,1,0.87,1065.7,1,0,0.846
CUST-1160,6,26,8,0,2,251.73,1,High,0,0.63,1771.8,0,0,0.945
CUST-1161,2,9,3,0,0,131.05,1,Low,1,0.33,634.7,1,1,0.677
CUST-1162,12,39,14,1,0,176.03,6,Low,1,0.22,3073.7,1,0,0.48
CUST-1163,9,28,15,1,1,79.71,6,Low,1,0.39,2666.7,1,1,0.812
CUST-1164,4,17,8,0,0,53.4,2,Low,0,0.21,1178.9,0,0,0.445
CUST-1165,9,39,18,1,10,208.98,8,High,1,0.57,4268.5,1,1,0.923
CUST-1166,7,19,5,0,4,134.76,9,High,1,0.77,2363.5,0,0,0.94
CUST-1167,10,11,5,1,2,286.48,16,High,0,0.88,624.3,1,1,0.823
CUST-1168,9,21,6,1,8,106.26,6,High,0,0.42,1121.3,1,1,0.861
CUST-1169,3,10,2,1,2,76.55,10,Medium,0,0.27,1148.2,1,1,0.632
CUST-1170,9,19,10,0,0,199.87,9,Low,1,0.44,1229.9,1,0,0.5
CUST-1171,5,22,3,1,1,276.09,2,Medium,0,0.35,1657.1,0,0,0.84
CUST-1172,7,21,11,1,0,80.12,3,Low,0,0.13,1652.2,1,1,0.378
CUST-1173,8,26,7,1,0,91.3,4,Low,1,0.43,3052.0,0,0,0.641
CUST-1174,4,6,3,0,2,247.38,1,Medium,0,0.23,598.9,1,1,0.823
CUST-1175,4,5,1,0,2,326.28,3,High,1,0.36,282.8,1,1,0.935
CUST-1176,6,22,7,0,6,176.69,4,High,0,0.41,1120.2,1,1,0.885
CUST-1177,9,32,9,0,0,101.93,1,Low,1,0.75,1971.5,1,1,0.829
CUST-1178,11,24,9,1,1,237.62,1,Medium,0,0.67,1799.5,0,0,0.918
CUST-1179,8,25,8,1,2,123.1,4,Medium,0,0.25,2104.7,1,1,0.772
CUST-1180,11,46,17,1,2,103.43,8,Medium,1,0.52,5005.2,1,1,0.868
CUST-1181,10,23,3,1,7,110.52,11,High,0,0.65,1643.3,1,1,0.843
CUST-1182,12,48,12,0,4,188.42,5,High,0,0.22,3599.1,1,1,0.823
CUST-1183,2,9,1,0,2,143.18,4,Medium,1,0.45,662.6,1,1,0.902
CUST-1184,12,53,18,1,2,172.23,3,Medium,0,0.25,2471.9,1,1,0.792
CUST-1185,8,27,12,1,3,202.39,2,High,1,0.4,3227.9,1,1,0.946
CUST-1186,16,16,8,0,3,126.08,1,Medium,0,0.5,963.4,0,0,0.889
CUST-1187,6,10,2,1,1,213.87,10,Medium,0,0.64,815.8,1,1,0.782
CUST-1188,5,22,8,1,2,140.8,4,Medium,0,0.81,1359.8,1,1,0.912
CUST-1189,2,8,4,1,1,111.28,10,Low,1,0.68,713.3,1,1,0.826
CUST-1190,4,9,2,1,1,68.48,8,Low,0,0.67,1082.8,1,1,0.765
CUST-1191,10,44,15,1,3,123.65,2,Medium,1,0.39,2437.4,1,1,0.912
CUST-1192,10,21,7,1,6,258.87,5,High,1,0.19,1790.1,1,1,0.889
CUST-1193,3,7,1,1,4,197.79,4,High,0,0.09,501.3,1,0,0.802
CUST-1194,5,18,3,0,1,171.74,4,Medium,1,0.66,1881.7,1,1,0.933
CUST-1195,10,32,8,1,2,83.46,5,Medium,1,0.63,3071.0,1,1,0.921
CUST-1196,5,7,3,1,2,109.61,25,Medium,0,0.47,822.4,1,1,0.297
CUST-1197,3,4,0,1,3,185.66,11,High,0,0.7,476.0,1,0,0.856
CUST-1198,6,20,5,1,4,206.2,15,High,0,0.38,2300.8,1,1,0.659
CUST-1199,8,34,11,1,0,199.81,1,Low,1,0.48,2706.5,1,1,0.739
CUST-1200,2,3,0,0,2,157.04,1,Medium,1,0.64,324.0,0,0,0.951
CUST-1201,12,26,7,1,5,96.75,1,Medium,0,0.57,2567.0,1,1,0.902
CUST-1202,5,21,10,0,1,206.42,2,Medium,0,0.69,1868.2,0,0,0.912
CUST-1203,6,15,2,1,0,109.24,4,Low,1,0.19,941.7,1,1,0.525
CUST-1204,6,18,7,1,4,207.68,7,High,0,0.56,1378.6,1,1,0.879
CUST-1205,8,17,5,1,0,123.77,5,Low,1,0.22,1023.9,1,1,0.51
CUST-1206,10,42,16,1,1,279.97,15,Medium,0,0.56,3409.0,1,1,0.627
CUST-1207,3,12,5,0,4,117.86,17,Medium,1,0.4,1175.1,0,0,0.636
CUST-1208,3,15,4,1,3,116.82,2,Medium,1,0.69,840.3,1,1,0.95
CUST-1209,5,10,5,0,2,135.36,12,Medium,0,0.2,991.9,1,1,0.54
CUST-1210,6,25,9,0,2,97.43,4,Medium,0,0.26,2899.3,1,0,0.776
CUST-1211,4,14,7,1,3,89.32,4,Medium,0,0.59,1118.7,1,1,0.87
CUST-1212,8,16,5,0,2,95.88,10,Medium,0,0.2,1073.7,1,1,0.599
CUST-1213,6,14,9,1,1,243.37,1,Medium,0,0.39,1678.1,1,1,0.865
CUST-1214,6,9,4,1,3,92.02,13,Medium,1,0.53,980.7,1,1,0.786
CUST-1215,3,5,4,0,1,117.32,7,Low,0,0.39,319.3,1,0,0.677
CUST-1216,6,28,10,1,1,339.74,13,Medium,0,0.58,2240.5,1,0,0.69
CUST-1217,10,12,4,1,2,210.5,32,Medium,1,0.72,1242.6,1,0,0.354
CUST-1218,5,7,3,1,1,208.87,5,Medium,1,0.5,767.7,1,1,0.9
CUST-1219,13,13,7,1,3,316.4,1,High,0,0.15,1321.7,0,0,0.868
CUST-1220,8,8,5,1,3,133.63,2,Medium,1,0.3,747.0,1,1,0.897
CUST-1221,5,17,5,1,2,55.26,3,Low,1,0.28,1885.8,1,1,0.832
CUST-1222,9,28,12,1,2,200.28,1,Medium,0,0.55,2068.3,1,0,0.898
CUST-1223,8,9,2,1,4,127.14,11,High,0,0.26,926.3,1,0,0.711
CUST-1224,9,39,14,1,3,341.12,3,High,0,0.05,4802.8,1,1,0.808
CUST-1225,8,26,7,1,1,51.68,23,Low,1,0.72,1993.7,1,0,0.52
CUST-1226,11,15,4,1,4,89.35,8,Medium,1,0.22,1670.4,1,1,0.782
CUST-1227,6,21,11,0,7,107.32,2,High,1,0.39,1503.7,1,1,0.945
CUST-1228,16,34,9,1,0,134.82,4,Low,0,0.51,2364.5,1,1,0.535
CUST-1229,6,19,7,1,10,73.21,4,High,0,0.32,2280.8,0,0,0.865
CUST-1230,2,7,3,1,5,164.45,5,High,1,0.31,359.6,1,1,0.911
CUST-1231,3,14,3,1,0,104.59,5,Low,0,0.93,908.3,1,1,0.703
CUST-1232,11,38,12,1,3,216.73,1,High,0,0.28,3203.1,1,1,0.895
CUST-1233,1,8,3,0,2,250.85,7,High,0,0.69,705.2,1,1,0.904
CUST-1234,13,27,7,0,7,120.5,5,High,1,0.25,2573.6,0,0,0.9
CUST-1235,6,6,3,0,0,176.53,10,Low,0,0.66,525.2,1,1,0.43
CUST-1236,3,12,7,0,0,140.29,11,Low,0,0.18,683.4,1,0,0.204
CUST-1237,9,32,9,1,0,135.56,2,Low,1,0.17,2437.0,1,0,0.574
CUST-1238,3,13,3,1,6,70.43,1,Medium,0,0.62,1211.6,1,1,0.911
CUST-1239,7,30,10,0,2,132.19,8,Medium,1,0.34,2723.6,1,0,0.821
CUST-1240,8,18,8,1,4,207.0,23,High,1,0.83,1723.7,1,1,0.769
CUST-1241,5,9,2,0,0,166.36,4,Low,0,0.42,855.9,1,1,0.49
CUST-1242,7,24,4,0,1,90.45,2,Low,0,0.53,1688.7,1,0,0.835
CUST-1243,12,30,11,0,2,70.73,2,Low,0,0.26,3167.9,1,1,0.746
CUST-1244,7,7,5,1,2,130.06,3,Medium,0,0.16,470.4,1,1,0.761
CUST-1245,7,10,3,0,3,98.43,3,Medium,1,0.3,727.2,0,0,0.885
CUST-1246,7,22,7,1,3,103.79,4,Medium,1,0.06,2250.1,0,0,0.808
CUST-1247,7,29,15,1,2,99.22,7,Medium,0,0.53,2060.6,1,1,0.805
CUST-1248,4,13,5,1,1,141.15,2,Low,0,0.26,1173.0,1,1,0.746
CUST-1249,8,29,12,0,1,182.05,1,Medium,0,0.41,2145.2,1,1,0.87
CUST-1250,9,33,12,0,3,96.69,3,Medium,0,0.49,2885.6,1,1,0.861
CUST-1251,4,9,6,1,2,94.72,12,Medium,0,0.24,800.1,1,1,0.56
CUST-1252,10,42,16,1,0,76.52,5,Low,1,0.45,5110.6,0,0,0.622
CUST-1253,4,8,5,1,3,151.69,21,Medium,0,0.36,726.2,1,0,0.354
CUST-1254,10,30,12,0,3,204.75,5,High,1,0.29,2829.7,1,1,0.907
CUST-1255,5,24,10,1,3,133.08,2,Medium,0,0.41,2808.1,1,1,0.856
CUST-1256,8,10,3,1,4,182.45,2,High,0,0.27,973.9,1,1,0.881
CUST-1257,3,13,4,1,4,229.86,8,High,0,0.75,1169.7,1,1,0.904
CUST-1258,13,41,17,1,1,156.15,5,Medium,1,0.12,3639.7,1,1,0.808
CUST-1259,8,32,10,1,2,91.52,6,Medium,0,0.38,2709.4,1,1,0.776
CUST-1260,3,3,1,1,2,86.79,9,Medium,0,0.15,351.4,1,0,0.603
CUST-1261,8,10,2,0,2,94.12,8,Medium,1,0.82,612.4,0,0,0.923
CUST-1262,2,10,5,0,3,295.29,1,High,0,0.71,1191.3,0,0,0.953
CUST-1263,6,6,1,1,2,333.21,10,High,0,0.69,674.3,1,1,0.868
CUST-1264,12,26,11,0,1,118.31,5,Low,0,0.03,2862.2,1,1,0.565
CUST-1265,4,17,6,1,1,224.74,3,Medium,0,0.55,840.8,0,0,0.874
CUST-1266,1,4,1,1,2,242.81,5,Medium,0,0.34,532.0,1,1,0.782
CUST-1267,9,13,5,1,2,71.24,6,Low,0,0.61,789.5,1,1,0.786
CUST-1268,6,28,8,1,1,287.66,1,Medium,0,0.4,2824.2,1,1,0.868
CUST-1269,2,6,2,0,3,124.94,4,Medium,1,0.31,636.6,1,1,0.874
CUST-1270,7,32,10,1,1,122.09,3,Low,1,0.52,3147.2,1,1,0.889
CUST-1271,6,10,1,1,2,77.99,3,Medium,1,0.6,1059.3,1,1,0.933
CUST-1272,3,14,9,0,0,296.17,1,Low,1,0.4,864.6,0,0,0.707
CUST-1273,11,13,2,1,2,144.77,2,Medium,0,0.55,1248.4,1,1,0.887
CUST-1274,10,30,12,0,3,282.72,2,High,1,0.36,2061.9,1,1,0.942
CUST-1275,4,20,6,0,2,236.07,3,Medium,0,0.53,1905.8,1,1,0.87
CUST-1276,8,35,13,1,0,119.29,14,Low,1,0.86,3593.5,1,0,0.56
CUST-1277,2,4,1,0,2,146.93,2,Medium,0,0.41,235.7,1,1,0.856
CUST-1278,2,5,2,1,2,102.87,4,Medium,0,0.23,526.0,1,1,0.765
CUST-1279,6,9,4,1,9,108.68,3,High,1,0.36,930.6,1,1,0.935
CUST-1280,3,5,2,1,1,170.62,10,Medium,1,0.42,383.7,1,1,0.808
CUST-1281,6,30,7,1,0,195.11,1,Low,1,0.47,3559.5,0,0,0.735
CUST-1282,8,9,4,0,2,54.29,2,Low,0,0.69,903.7,1,1,0.874
CUST-1283,5,22,6,1,1,55.1,2,Low,0,0.42,1326.7,1,1,0.802
CUST-1284,3,8,0,0,1,110.09,30,Low,0,0.46,528.1,0,0,0.132
CUST-1285,7,30,10,0,1,159.43,6,Medium,0,0.45,2678.3,0,0,0.799
CUST-1286,4,7,2,1,0,244.65,1,Low,0,0.3,645.3,0,0,0.52
CUST-1287,4,6,2,1,1,143.77,2,Low,0,0.34,392.3,1,1,0.776
CUST-1288,8,19,8,1,2,124.62,2,Medium,0,0.17,1016.6,1,1,0.786
CUST-1289,8,33,10,0,0,181.02,1,Low,0,0.32,2917.8,1,1,0.53
CUST-1290,10,21,6,1,2,90.8,10,Medium,1,0.33,1957.6,1,1,0.779
CUST-1291,5,20,4,1,4,145.42,5,High,1,0.02,1217.7,1,1,0.851
CUST-1292,13,19,8,1,0,131.75,6,Low,0,0.26,1879.2,1,0,0.354
CUST-1293,3,14,5,1,1,150.53,3,Medium,0,0.64,1678.6,1,1,0.893
CUST-1294,2,8,2,0,1,230.83,5,Medium,0,0.46,1002.4,0,0,0.821
CUST-1295,3,5,2,1,2,59.59,2,Low,0,0.07,688.6,0,0,0.668
CUST-1296,12,37,13,1,5,135.13,3,High,1,0.3,3990.9,1,1,0.927
CUST-1297,7,22,7,1,6,194.76,7,High,1,0.65,1459.0,1,1,0.94
CUST-1298,4,16,6,0,2,175.56,1,Medium,1,0.19,1087.3,0,0,0.887
CUST-1299,4,6,2,0,4,62.41,6,Medium,0,0.53,648.3,0,0,0.823
CUST-1300,8,18,7,1,0,54.96,12,Low,1,0.78,1729.6,1,0,0.579
CUST-1301,9,14,4,1,0,188.47,1,Low,0,0.2,1628.8,1,1,0.47
CUST-1302,3,7,1,1,2,60.99,14,Low,0,0.25,602.5,1,1,0.406
CUST-1303,6,25,6,1,2,146.64,1,Medium,0,0.12,2068.2,1,1,0.789
CUST-1304,4,18,7,1,5,223.99,3,High,1,0.14,1781.9,1,0,0.902
CUST-1305,12,26,12,1,4,68.81,6,Medium,0,0.46,2125.5,1,0,0.802
CUST-1306,3,8,2,1,2,283.42,5,High,0,0.43,706.7,1,1,0.877
